record_id,actual_label,actual_class,if_score,if_score_normalized,if_prediction_1pct,if_status_1pct,ae_score,ae_score_normalized,ae_prediction_1pct,ae_status_1pct,if_ae_agreement,hybrid_score,hybrid_prediction_0.5pct,hybrid_status_0.5pct,hybrid_prediction_1pct,hybrid_status_1pct,hybrid_prediction_3pct,hybrid_status_3pct,default_threshold,default_prediction,default_status,correct_prediction
0,0,Normal,0.4507126587183861,0.8903282360962307,0,Normal,0.0010894771,0.2397974091750268,0,Normal,Neither,0.5650628226356287,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
1,0,Normal,0.46368481029059877,0.9259764293367099,0,Normal,0.0027051158,0.5112496347521185,0,Normal,Neither,0.7186130320444142,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
2,0,Normal,0.4397281482870854,0.8445505016070907,0,Normal,0.0011932969,0.26609525664751144,0,Normal,Neither,0.555322879127301,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
3,0,Normal,0.4410191628139985,0.8501996688419207,0,Normal,0.0007918106,0.16898801986948475,0,Normal,Neither,0.5095938443557027,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
4,0,Normal,0.4602076621389899,0.9188662705756306,0,Normal,0.0025848495,0.4969319177948768,0,Normal,Neither,0.7078990941852537,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
5,0,Normal,0.46448561126390325,0.9276322197331256,0,Normal,0.0010731822,0.23512223629102952,0,Normal,Neither,0.5813772280120776,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
6,0,Normal,0.47394495474785925,0.9445797214376157,0,Normal,0.0025797475,0.49634752118437714,0,Normal,Neither,0.7204636213109964,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
7,0,Normal,0.4820978307036187,0.9574364468686082,0,Normal,0.003019154,0.5461186325119314,0,Normal,Neither,0.7517775396902697,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
8,0,Normal,0.630057274096432,0.9995130028245837,1,Anomaly,0.13176934,0.9993182039544171,1,Anomaly,Both anomaly,0.9994156033895003,1,Anomaly,1,Anomaly,1,Anomaly,0.9800818155254699,1,Anomaly,0
9,0,Normal,0.630057274096432,0.9995130028245837,1,Anomaly,0.13176934,0.9993182039544171,1,Anomaly,Both anomaly,0.9994156033895003,1,Anomaly,1,Anomaly,1,Anomaly,0.9800818155254699,1,Anomaly,0
10,0,Normal,0.630057274096432,0.9995130028245837,1,Anomaly,0.13176934,0.9993182039544171,1,Anomaly,Both anomaly,0.9994156033895003,1,Anomaly,1,Anomaly,1,Anomaly,0.9800818155254699,1,Anomaly,0
11,0,Normal,0.630057274096432,0.9995130028245837,1,Anomaly,0.13176934,0.9993182039544171,1,Anomaly,Both anomaly,0.9994156033895003,1,Anomaly,1,Anomaly,1,Anomaly,0.9800818155254699,1,Anomaly,0
12,0,Normal,0.46101130315200967,0.92003506379663,0,Normal,0.0018564595,0.3973896951397682,0,Normal,Neither,0.658712379468199,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
13,0,Normal,0.4661698578000802,0.9311385993961235,0,Normal,0.0029202877,0.5365734878737703,0,Normal,Neither,0.7338560436349469,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
14,0,Normal,0.49295194788731367,0.9673711892471024,0,Normal,0.003989432,0.6222849907470537,0,Normal,Neither,0.7948280899970781,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
15,0,Normal,0.43688025663850755,0.8289665919937664,0,Normal,0.0017283339,0.37693581377228014,0,Normal,Neither,0.6029512028830233,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
16,0,Normal,0.4573994539981331,0.9106847180286355,0,Normal,0.001437592,0.32083373916431285,0,Normal,Neither,0.6157592285964741,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
17,0,Normal,0.4600346584062565,0.9185740722703808,0,Normal,0.002840536,0.528002337586442,0,Normal,Neither,0.7232882049284114,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
18,0,Normal,0.4866218708457977,0.9616246225771891,0,Normal,0.0032746687,0.5672543099250025,0,Normal,Neither,0.7644394662510958,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
19,0,Normal,0.4799837014792262,0.9546118632511932,0,Normal,0.0028014714,0.5230349663971949,0,Normal,Neither,0.7388234148241941,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
20,0,Normal,0.4702034517821856,0.9380539592870362,0,Normal,0.0035622425,0.5907275737800721,0,Normal,Neither,0.7643907665335541,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
21,0,Normal,0.444558127768333,0.8654913801499952,0,Normal,0.0013193833,0.29619168208824387,0,Normal,Neither,0.5808415311191195,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
22,0,Normal,0.4423316288481475,0.8557514366416675,0,Normal,0.0018469958,0.3960261030486023,0,Normal,Neither,0.625888769845135,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
23,0,Normal,0.46894360771985716,0.9363981688906204,0,Normal,0.002348818,0.4676146878348106,0,Normal,Neither,0.7020064283627155,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
24,0,Normal,0.44889345617243026,0.8832180773351515,0,Normal,0.0013257278,0.2973604753092432,0,Normal,Neither,0.5902892763221973,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
25,0,Normal,0.4611518993430084,0.9203272621018798,0,Normal,0.0018084428,0.3907665335541054,0,Normal,Neither,0.6555468978279926,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
26,0,Normal,0.45200143881302884,0.8944190123697282,0,Normal,0.0010665919,0.23385604363494691,0,Normal,Neither,0.5641375280023375,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
27,0,Normal,0.4974849222354489,0.9706827700399338,0,Normal,0.0027189879,0.5132950228888672,0,Normal,Neither,0.7419888964644005,0,Normal,0,Normal,0,Normal,0.9800818155254699,0,Normal,1
