dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,smean,dmean,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_sm_ips_ports,proto_arp,proto_other,proto_tcp,proto_udp,service_-,service_dns,service_ftp,service_ftp-data,service_http,service_pop3,service_radius,service_smtp,service_snmp,service_ssh,state_CON,state_ECO,state_FIN,state_INT,state_PAR,state_REQ,state_RST,state_URN,state_no
-0.090014614,0.20592679,0.17799008,0.37670285,0.22802433,-1.7006,-3.3884416,-2.4864657,0.80474144,0.3498302,-0.9342,-0.9342,-1.3569155,-1.0,1.9046542e-09,1.9046542e-09,-0.7564708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.090014614,-0.88280696,-0.9363967,-1.6107706,-0.69659364,-1.7006,-3.3884416,-2.4864657,-0.05309346,0.18902503,-0.9342,-0.9342,-1.3569155,-1.0,1.9046542e-09,1.9046542e-09,-0.7564708,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.090014614,-0.88280696,-1.2585267,-1.8981744,-2.0387404,-1.7006,-3.3884416,-2.4864657,-0.757552,-2.2658617,-0.9342,-0.9342,-1.3569155,-1.0,1.9046542e-09,1.9046542e-09,-0.7564708,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16.33437,2.6798666,-1.2585267,2.9198163,-2.0387404,-1.4806532,-1.6716678,-2.4864657,-0.247848,-2.2658617,-0.9342,-0.9342,-0.5631708,-1.0,1.9046542e-09,1.9046542e-09,-0.7564708,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.090014614,-0.030228416,-0.14413993,0.13436097,0.07293634,-1.7006,-3.3884416,-2.4864657,0.9415127,0.43920448,-0.9342,-0.9342,-1.3569155,-1.0,1.9046542e-09,1.9046542e-09,-0.7564708,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16.33437,0.3036946,0.23739877,0.43972707,0.35458797,-1.697757,-2.8619804,-2.0177655,0.6629747,0.5133563,-0.9342,-0.5208099,7.45716e-09,-1.0,1.9046542e-09,1.9046542e-09,-0.7564708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.090014614,-0.88280696,-0.9363967,-1.5683095,-0.67439616,-1.7006,-3.3884416,-2.4864657,0.0509833,0.22962587,-0.9342,-0.5208099,-0.5631708,-1.0,1.9046542e-09,1.9046542e-09,-0.7564708,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16.334482,-0.4014624,-0.4258327,-0.58912915,-0.09903108,-1.7000608,-3.2183664,-2.2716284,0.39651433,0.473337,-0.9342,-0.9342,-1.3569155,-1.0,1.9046542e-09,1.9046542e-09,-0.7564708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16.334484,-0.4014624,-0.4258327,-0.5616023,-0.09903108,-1.7000608,-3.211708,-2.2716286,0.46346453,0.473337,-0.5208099,-0.5208099,-0.5631708,-0.41503748,0.40546513,1.9046542e-09,-0.7564708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.090014614,-0.88280696,-1.2585267,-1.8981744,-2.0387404,-1.7006,-3.3884416,-2.4864657,-0.757552,-2.2658617,-0.9342,-0.9342,-1.3569155,-1.0,1.9046542e-09,1.9046542e-09,-0.7564708,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
